time	ADP	ATP	BPG	Glc	NAD	NADH	P3G	gap	pep	pyr
108.0.58.0	0.00018271385361800003	9.999817286146385	0.002478797143011	7.584818997351123	0.000182918533745	0.19981708146625501	0.582157281674304	2.78036392118267	7.582339995527967	2.567660004472065
109.0.8.0	0.000180305949591	9.99981969405041	0.002453938421471	7.568022028912743	0.00018052073355200003	0.19981947926644902	0.565387569757656	2.797158491820857	7.565567875707293	2.5844321242927393
111.0.02.0	0.000177871499911	9.99982212850009	0.0024283217445170003	7.551484388061566	0.00017809631663300002	0.19982190368336702	0.548877970000351	2.8136937082551152	7.549055841500309	2.600944158499722
112.0.24.0	0.000175410821737	9.999824589178266	0.002401958335567	7.535206969173538	0.000175645591425	0.19982435440857502	0.5326293652464821	2.8299686764179333	7.532804776068269	2.6171952239317653
113.0.46.0	0.00017292426749600001	9.999827075732508	0.0023748599658880002	7.519190642116408	0.00017316890128100002	0.19982683109871902	0.516642613249172	2.845982526784921	7.516815537516717	2.633184462483315
114.0.67999999999999.0	0.00017041222660800002	9.999829587773393	0.002347038979518	7.503436249888534	0.000170666626192	0.199829333373809	0.5009185442827561	2.861734416737706	7.501088956509414	2.6489110434906182
115.0.89999999999999.0	0.00016787512727800002	9.999832124872723	0.002318508318976	7.487944606125317	0.000168139184561	0.19983186081543902	0.48545795862170904	2.877223533059293	7.4856258337490384	2.664374166250994
117.0.12.0	0.000165313438338	9.999834686561663	0.0022892815517270002	7.472716492467653	0.00016558703505	0.19983441296495102	0.47026162388080306	2.892449094567446	7.470426937319195	2.679573062680837
118.0.34.0	0.00016272767115	9.99983727232885	0.0022593728973880002	7.457752655786916	0.000163010678467	0.19983698932153302	0.45533027221098504	2.907410354891602	7.45549299988219	2.6945070001178433
119.0.56.0	0.000160118381561	9.99983988161844	0.002228797255619	7.443053805260936	0.000160410659728	0.19983958934027302	0.44066459734551205	2.922106605398842	7.440824715727129	2.709175284272902
120.0.78.0	0.00015748617191800002	9.999842513828083	0.0021975702346760002	7.428620609295621	0.00015778756985100002	0.19984221243014902	0.426265251491016	2.9365371782742793	7.426422737662992	2.723577262337039
122.0.	0.00015483169312500002	9.999845168306878	0.002165708180534	7.414453692286951	0.000155142048023	0.199844857951977	0.412132842058317	2.95070144976112	7.412287673751502	2.737712326248531
