time	AMP	Acetic_acid	Amadori	C5	Cn	Formic_acid	Fru	Glu	Melanoidin	Triose	lys_R
21.0.200000000000003.0	1.400282099685095	2.599734708810101	0.998776651543504	1.72667997849192	0.13405357395964101	1.72667997849192	25.34646774029511	123.6573527217295	2.29571515818793	4.084035456471228	10.305226090583453
21.0.6.0	1.402927025975075	2.651284349113974	0.9887087593614851	1.761103054930401	0.141346104511016	1.761103054930401	25.688397316894942	123.10133008610276	2.3658763619489003	4.222092195853827	10.242487852714513
22.0.	1.404990172739241	2.702630855452991	0.97870159751546	1.7955715104432861	0.14888255207641202	1.7955715104432861	26.026188888918362	122.54928254701393	2.436155281990653	4.361840843926451	10.180152947754618
22.0.400000000000002.0	1.40649917278397	2.753779993254974	0.968760127401156	1.8300842774967951	0.156665864428529	1.8300842774967951	26.35988462890167	122.00117373823346	2.506523492557176	4.503255003168044	10.118217207257672
22.0.8.0	1.407480656524852	2.804737688400896	0.9588886751391191	1.8646403002130612	0.16469894323672002	1.8646403002130612	26.68952625213861	121.45696769272435	2.576953925940998	4.646308561070861	10.056676742395009
23.0.200000000000003.0	1.4079602658899582	2.855510000923873	0.949090997480428	1.8992385342445002	0.17298464456475202	1.8992385342445002	27.01515502205896	120.91662883551425	2.647420822642564	4.790975687053615	9.99552791398703
23.0.6.0	1.407962671054107	2.906103101485935	0.9393703410067751	1.933877946649229	0.181525779363188	1.933877946649229	27.3368117555403	120.38012197694037	2.7178996822986	4.937230829410432	9.93476730564049
24.0.	1.407511589509964	2.956523250349485	0.9297294953071901	1.968557515767571	0.19032511395644003	1.968557515767571	27.65453682815458	119.84741230623223	2.788367215508541	5.085048712295209	9.874391699674272
24.0.400000000000002.0	1.4066298070422611	3.006776778589143	0.9201708407441501	2.003276231099673	0.19938537052455402	2.003276231099673	27.968370179350895	119.3184653853997	2.858801296664911	5.234404332740945	9.814398055548645
24.0.8.0	1.40533920022514	3.056870071315522	0.9106963913593221	2.038033093184276	0.208709227579799	2.038033093184276	28.27835131757577	118.79324714339882	2.9291809178731842	5.3852729577136085	9.754783490542323
25.0.200000000000003.0	1.403660760110435	3.106809552705753	0.901307833413152	2.072827113478638	0.21829932043810102	2.072827113478638	28.584519325332028	118.27172387054902	2.9994861440288823	5.537630121200146	9.695545262447505
25.0.6.0	1.401614616817187	3.156601672656425	0.8920065600021081	2.107657314239659	0.22815824168540502	2.107657314239659	28.886912864177372	117.7538622131797	3.069698069104087	5.6914516213302075	9.636680754076597
26.0.	1.399220064770377	3.206252894893341	0.8827937021522321	2.142522728406192	0.238288541639003	2.142522728406192	29.185570179663376	117.23962916848527	3.139798773682034	5.846713517531219	9.57818745939534
26.0.400000000000002.0	1.396495588370368	3.255769686389344	0.8736701567470231	2.177422399482572	0.24869272880390403	2.177422399482572	29.480529106215883	116.72899207957083	3.209771283766688	6.003392127716357	9.52006297111591
