time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
14800.0.	2.502993092642175	997.4969105963547	499.999975922	174.9707138902407	710.2730203997896	2003.3354377738071	3901.1352254729013	5714.8170112869	591.0493581821684	17.313185817293036	0.510322746410332	44.92332369598954	3954.5661609375957	135.44216628049006	27.577965804944398	53.64651371384485	99.9999903689	499.999951844
15000.0.	2.502993965484689	997.496909723512	499.999975922	174.97064443068726	710.2724723966537	2003.3336445989848	3901.136281420032	5714.818558263923	591.0494324242682	17.313181034747117	0.510321690418102	44.9232775972958	3954.566208092282	135.44218554008867	27.577966146885558	53.64649411230519	99.9999903689	499.999951844
15200.0.	2.502994669230454	997.4969090197666	499.999975922	174.97058842764977	710.2720305588748	2003.3321988182138	3901.1371327972374	5714.819805543199	591.0494922833224	17.313177178731113	0.510320839006962	44.923240429428624	3954.566246111561	135.4422010684936	27.577966422581373	53.64647830820467	99.9999903689	499.999951844
15400.0.	2.5029952366390322	997.4969084523581	499.999975922	174.97054327414736	710.2716743187589	2003.3310331302018	3901.1378192365087	5714.820811186142	591.0495405458099	17.3131740697449	0.510320152542009	44.92321046216994	3954.5662767652852	135.44221358856217	27.577966644865892	53.64646556585127	99.9999903689	499.999951844
15600.0.	2.502995694122903	997.4969079948743	499.999975922	174.97050686830073	710.2713870934531	2003.3300932721477	3901.1383726910676	5714.821622004657	591.0495794583366	17.313171563067	0.510319599067753	44.92318630053374	3954.5663014803968	135.4422236831001	27.577966824086726	53.64645529209308	99.9999903689	499.999951844
15800.0.	2.502996062978124	997.4969076260192	499.999975922	174.97047751539338	710.2711555126136	2003.3293354939447	3901.1388189245063	5714.822275742762	591.0496108323014	17.313169542009884	0.510319152819193	44.9231668197704	3954.566321407408	135.44223182201344	27.577966968586743	53.6464470086798	99.9999903689	499.999951844
16000.0.	2.502996360374754	997.4969073286227	499.999975922	174.97045384905317	710.2709687960538	2003.328724520639	3901.1391787087855	5714.822802831664	591.0496361281555	17.313167912494	0.510318793023079	44.92315111304055	3954.5663374739343	135.44223838416676	27.577967085092528	53.64644033002019	99.9999903689	499.999951844
16200.0.	2.502996600156209	997.4969070888411	499.999975922	174.97043476763926	710.2708182524204	2003.3282319119503	3901.1394687914762	5714.8232278067835	591.0496565233836	17.31316659866694	0.5103185029311981	44.923138449212004	3954.5663504278555	135.44224367501846	27.577967179027084	53.64643494523037	99.9999903689	499.999951844
16400.0.	2.502996793484968	997.4969068955122	499.999975922	174.97041938285778	710.2706968735497	2003.32783473666	3901.1397026765917	5714.823570451684	591.049672967466	17.313165539367144	0.5103182690388101	44.92312823874404	3954.566360872216	135.4422479408792	27.577967254763955	53.646430603633036	99.9999903689	499.999951844
16600.0.	2.502996949359349	997.4969067396379	499.999975922	174.97040697863596	710.2705990098763	2003.32751450723	3901.1398912501613	5714.823846714554	591.0496862257655	17.313164685289873	0.510318080459503	44.92312000639648	3954.5663692931425	135.4422513802972	27.57796731582793	53.646427103151915	99.9999903689	499.999951844
16800.0.	2.502997075035981	997.4969066139612	499.999975922	174.97039697750046	710.2705201054737	2003.3272563162766	3901.1400432911514	5714.824069456682	591.0496969155193	17.31316399667434	0.510317928413981	44.92311336891444	3954.56637608267	135.4422541533914	27.577967365061994	53.646424280823716	99.9999903689	499.999951844
