time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
5300.0.	0.00010314033873200001	499.99989685965926	0.000246012880137	102.73621547314501	3.9968647827234444e-05	7.478491398967129	4.9496041961604915e-05	0.001425223269046	0.8766033804796771	5.0856333688099175e-05	0.521871043875627	0.000670826842072
5400.0.	0.00024729254933400003	499.99975270744864	0.009481725428106	109.48491601151103	8.251646956655985e-05	8.745126677407324	0.000127721188278	0.0036101912288140003	1.366517405286546	5.258891336801055e-06	0.029739423405023002	0.013178971340868002
5500.0.	4.442545245286857e-05	499.99995557454577	4.7291529784553804e-05	94.41494638560668	3.792281893194855e-05	2.940357682264412	1.9616518276770272e-05	0.0005635740872980001	0.421374386305844	0.000351239561953	0.9776911835266261	0.000134008722847
5600.0.	8.761772759441364e-05	499.9999123822704	0.000164661452076	101.80934491405671	3.8485826618638503e-05	6.6187795357115355	4.167402998754349e-05	0.001199643229575	0.715912812918826	7.23793279611097e-05	0.6827734904936491	0.00043784133913100004
5700.0.	0.00013194384732900002	499.9998680561508	0.0007622207343390001	108.7659607309072	4.6604579259496594e-05	8.371461360501055	6.704420347334773e-05	0.001930004641034	1.193644589889238	2.1068724769824694e-05	0.20433729254148403	0.0021736223057340002
5800.0.	2.4562786228714864e-05	499.99997543721213	1.5247994962733772e-05	93.34986433816589	4.9152242352439616e-05	0.9992581505732621	1.0811768477007381e-05	0.00030591363271700005	0.27076414722305203	0.112153145484746	1.016765981891003	5.6635319720233174e-05
5900.0.	7.296219587176805e-05	499.9999270378025	0.00011615224906500001	100.89847321823959	3.7639247940062954e-05	5.595389617972678	3.440129754551265e-05	0.000989835710634	0.588484846110908	9.977851279038354e-05	0.810391138368119	0.000305232934956
6000.0.	0.000114979614276	499.9998850203842	0.00037667158737300004	107.99384002324456	4.363062574005193e-05	7.888584029865895	5.7999413972541046e-05	0.001670173981347	1.018881809599746	3.8406350198458514e-05	0.37935161065473305	0.001057671114749
6100.0.	0.005623135987377	499.99437686401103	0.083163666020918	110.99213178425798	0.0022295808422380004	7.293401463218413	0.002973803212669	0.08248487613953301	1.238823223792924	0.00032364305679000003	0.075394453798082	0.07507334339752901
6200.0.	5.884390954551758e-05	499.9999411560881	8.101404122061315e-05	100.0045310632116	3.763523504343457e-05	4.405180183149814	2.750882279151171e-05	0.0007909794738820001	0.49282400043389	0.00014358459136400002	0.9062139266780721	0.000214943471539
6300.0.	0.00010146612748300001	499.99989853387007	0.00024700156672400003	107.2310696587301	4.1853723408992615e-05	7.314968958864444	5.0824481011920134e-05	0.001463388827448	0.86778027279401	5.5393780472410336e-05	0.530650120117059	0.000675759476685
6400.0.	0.000259179901893	499.99974082009516	0.010656501229044001	113.93292973233798	9.089390396159546e-05	8.630038393974198	0.0001394243268	0.003934099650621001	1.367278883868752	5.608501158382132e-06	0.028641983652666004	0.014099344828924
6500.0.	4.54850054945207e-05	499.9999545149922	5.1776569322515306e-05	99.12808328791765	3.9555204560104366e-05	3.047600001803425	2.1086391656176692e-05	0.000605826868917	0.42722440245700904	0.00030070979612900004	0.9718479744862831	0.00014574333316800001
6600.0.	8.921498959173603e-05	499.99991078500824	0.00017942055667600001	106.48223959583984	4.0592570104936194e-05	6.651726566638342	4.438111150882768e-05	0.001277579356197	0.739831173517645	7.332827848031072e-05	0.6587735377361621	0.00048087966603300005
6700.0.	0.000137419898259	499.99986258009983	0.001031584638456	113.3731856246634	5.0290580019110894e-05	8.352230334030068	7.280776659756292e-05	0.002094657105815	1.237807836691273	1.798003531609019e-05	0.160006718400992	0.002923094074195
6800.0.	3.360361022420951e-05	499.9999663963887	2.522438966535563e-05	98.27110456666541	4.884346267353079e-05	1.556784285709907	1.546920390834942e-05	0.00044306954631400004	0.359465616639135	0.030981964972074002	1.009093879638561	8.849465895524013e-05
