time	C1	C2	C3	C4	C5	C6	C7	C8	C9	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
185.0.	0	0	0	0	0	0	0	0	0	0.265789289482583	0.05258369903259601	0.24501343256528502	0.020923059247513	0.051121019338962	0.0041248377684330005	0.0015925470341590002	0.0038655480957510003	0.037377577896658	0.159247826658648	0.02910171894312	0.016104094550082	0.028506187912164003	0.01302434591043	0.006931552557325001	0.012245985429187001	0.080027944634146	0.172413317124158	0.272218824621042	0.027586682875841	0.12247813225750201	0.027781175378957003
190.0.	0	0	0	0	0	0	0	0	0	0.26492105362684104	0.05276121310038501	0.24458941967285502	0.021090528081642003	0.051458330813646	0.004187265603119	0.001629359260867	0.003952249513498	0.037219227322716	0.15921563669308902	0.028980977977703003	0.016081260240395003	0.028458640938210003	0.013008914032415001	0.006976778416353	0.0123257223687	0.08009974512269301	0.17239141710005002	0.27221113119956003	0.027608582899949004	0.12251291116679701	0.027788868800439
195.0.	0	0	0	0	0	0	0	0	0	0.264152153577259	0.05291537530702001	0.24421248847095303	0.021239303021390002	0.051756826024965	0.004242973074247001	0.001662683491035	0.00403068550408	0.037080882927821	0.15918695416115802	0.028874655966326	0.016061301388624	0.028416984574671	0.012995077081377001	0.0070166884157380005	0.012396061264170002	0.08016606687823001	0.172371147975343	0.27220503906996	0.027628852024656002	0.12254038711936902	0.027794960930039
200.0.	0	0	0	0	0	0	0	0	0	0.263472138979625	0.053049194465287004	0.24387791293694702	0.021371266039471003	0.052020673289346	0.004292565260421001	0.0016927481921420002	0.004101413773705	0.03696011617599	0.159161453327293	0.028781148771834002	0.016043871884898	0.028380526499922003	0.012982701652921001	0.007051855115938001	0.012458020172784	0.08022698730287	0.172352497786908	0.27220025301703205	0.027647502213091	0.122561913076314	0.027799746982967003
205.0.	0	0	0	0	0	0	0	0	0	0.26287150846947405	0.053165304155616	0.243581360633247	0.021488144180032	0.05225363926735	0.004336616450461001	0.001719787377664	0.004165000099401001	0.036854776910887004	0.159138828042717	0.028699008890325003	0.016028663923273002	0.028348648209772002	0.012971658454652	0.007082799257501	0.012512523747509	0.080282674358364	0.172335424393068	0.27219652811371603	0.027664575606931002	0.12257861080344301	0.027803471886283
210.0.	0	0	0	0	0	0	0	0	0	0.26234164913226504	0.053266006711774005	0.243318873387835	0.021591516134983002	0.052459120209	0.004375666257357001	0.0017440351514550001	0.004222006403164	0.036762964105659005	0.15911879275933902	0.028626934473602	0.016015404543576	0.028320798823850003	0.012961824190746	0.007109992476622	0.012560408416810002	0.080333359450747	0.17231986425196502	0.27219366169614	0.027680135748034	0.12259140783300901	0.027806338303859004
215.0.	0	0	0	0	0	0	0	0	0	0.261874774927887	0.053353312759718004	0.24308684635318603	0.021682819856218002	0.052640172194386006	0.004410217401305001	0.0017657214080570001	0.004272981452427001	0.03668299927884	0.15910108295209702	0.028563758157246003	0.016003852280684003	0.028296488987633	0.012953082740189002	0.007133860334112001	0.012602428060269	0.080379316076731	0.172305739345816	0.27219148653677	0.027694260654183	0.12260106890841801	0.027808513463229004
220.0.	0	0	0	0	0	0	0	0	0	0.261463865393295	0.053428976562429	0.242882006135715	0.021763360824223	0.052799540020906005	0.00444073480706	0.0017850685487090002	0.004318453843377	0.036613402387104005	0.15908545505882202	0.028508435987988003	0.015993793984565	0.028275285006958	0.012945325813008002	0.007154785516666	0.012639259934218001	0.080420843175458	0.17229296259121102	0.272189865051059	0.027707037408788004	0.122608222665814	0.027810134948940003
225.0.	0	0	0	0	0	0	0	0	0	0.26110260561033	0.053494527472524006	0.242701388542076	0.021834320674214	0.052939684526553	0.004467645713568	0.00180228907144	0.00435892693137	0.036552870015416	0.159071686039677	0.028460036663671	0.015985041848654	0.028256803302237003	0.012938453225536	0.007173111100305001	0.012671510658085002	0.080458252305198	0.17228144201876303	0.272188684392895	0.027718557981236003	0.12261338421725101	0.027811315607105
230.0.	0	0	0	0	0	0	0	0	0	0.260785328166514	0.053551297816830004	0.24254231637139903	0.021896765946373003	0.053062808236319	0.004491340542826	0.001817583898856	0.0043948753922800005	0.036500255692911	0.159059572647706	0.028417731235340003	0.015977430665656	0.028240705233322002	0.012932372902188	0.007189143791952001	0.01269972211897	0.08049185791348	0.172271083957311	0.272187852312197	0.027728916042688	0.12261697421850001	0.027812147687802
