time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
2550.0.	0.39550554174401503	999.6043981472551	499.999951844	2.944480637486797	97.05550973141312	3548.6330895515816	376.6122764354715	74.75424877293838	69.25642394468133	224.1997829910417	706.543696753272	99.9999903689	499.999951844
2600.0.	0.45859596146983506	999.5413077275292	499.999951844	3.300476027836614	96.69951434106322	3878.5577787084367	108.25960263889326	13.182233412660205	166.28505126483068	322.30449623518126	511.4103561889831	99.9999903689	499.999951844
2650.0.	0.672153534682095	999.3277501543167	499.999951844	4.493640162265512	95.50635020663442	3991.0869249493394	8.893802581344373	0.018887229308077	394.27670078989973	340.67762753173326	265.04557536736206	99.9999903689	499.999951844
2700.0.	1.550197601583461	998.4497060874152	499.999951844	7.749703272680212	92.25028709621972	3956.2959580744446	43.309779454842854	0.39387723070178904	697.0914702756983	212.92161227405435	89.98682113924266	99.9999903689	499.999951844
2750.0.	27.742267743397758	972.2576359456002	499.999951844	17.386049317225304	82.61394105167464	3088.235875138612	788.0882653515781	123.6754742697998	932.2732342351131	62.43810021395682	5.288569239925269	99.9999903689	499.999951844
2800.0.	0.697410453650747	999.302493235347	499.999951844	13.090902946867452	86.9090874220326	2765.4619727024815	967.5416074115136	266.99603464599187	404.2045696047127	344.0118552864442	251.7834787978389	99.9999903689	499.999951844
2850.0.	0.424863986198156	999.5750397027997	499.999951844	3.579955500762034	96.42003486813789	3071.502472171933	740.2634743663738	188.23366822168256	133.11208606132567	266.4897701023686	600.3980475253015	99.9999903689	499.999951844
2900.0.	0.390435149433965	999.6094685395635	499.999951844	2.941097882349718	97.05889248655018	3411.0139627958138	483.7076771684679	105.27797479570756	63.47850847383229	207.53285452129407	728.988540693869	99.9999903689	499.999951844
2950.0.	0.42241523940176906	999.5774884495955	499.999951844	3.08981254897221	96.91017781992771	3751.4265144300557	214.1949012904629	34.37819903947052	111.3313089416197	281.0924625701694	607.5761321772068	99.9999903689	499.999951844
3000.0.	0.55849269545345	999.4414109935433	499.999951844	3.873613650491371	96.12637671840864	3991.919854511679	8.008072524844057	0.071687723468407	291.2485525936257	352.5580311207393	356.1933199746312	99.9999903689	499.999951844
