time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
1440.0.	493.77383133103575	506.22607235796903	499.999975922	9.433151145475795	0.008376055447958	63.550957126890204	542.3289799756323	0	759.8420515725471	14.058055171693793	794.4737958759528	2539.373141563208	1049.7701621994088	410.8563109973969	206.83180893835663	7.169560211128258	2.665276649799112	99.9999903689	499.999951844
1480.0.	497.3088952154898	502.69100847351496	499.999975922	17.83362280999074	0.047919634062911005	46.53388890667443	537.9900306085278	0	745.942523595648	19.557111484078384	788.1183050188833	2304.5687338943612	1149.310541585641	546.120339280011	201.95204935204634	9.68199501919832	5.032601428038771	99.9999903689	499.999951844
1520.0.	513.9117006495618	486.08820303944316	499.999975922	32.76619639282752	0.529426050011859	34.22216455346399	533.412061263991	0	723.7599811626691	26.807080334219464	781.4124474803859	2057.275704476392	1233.0030494623672	709.7208608212559	194.61635418197724	12.815047499753643	9.235244117554045	99.9999903689	499.999951844
1560.0.	543.7216006944847	456.2783029945201	499.999975922	60.029854447639586	5.76216598504757	26.801050642539415	528.6848548923901	0	686.7440398612936	36.55936358078437	774.4877409867435	1790.3293146234419	1297.803363470047	911.8669366665272	182.9906144937158	16.773959320873736	16.902071984694015	99.9999903689	499.999951844
1600.0.	585.2444492427214	414.755454446283	499.999975922	116.4601196814486	65.66918147550777	39.25814961907052	523.9924599691038	0	616.3696299654152	50.503508242853826	767.6131117294918	1474.3711085278246	1336.4031617580076	1189.2253444741825	161.84659015635782	22.043939145168423	32.776116497757336	99.9999903689	499.999951844
1640.0.	636.0982974731927	363.90160621581134	499.999975922	277.89722996990713	478.53593050479805	210.7689955540375	520.6950991880875	0	436.8235253640071	68.61250255580318	762.7747591525141	1017.655753952491	1297.4557570178022	1684.8881037897236	110.14397504848057	28.19453918733143	78.32813156347154	99.9999903689	499.999951844
1680.0.	692.5856461805776	307.4142575084257	499.999975922	738.8291052477894	959.5911222473004	726.9811223036817	524.1927581239898	0	27.193316752471617	17.31083588945652	767.8747048274166	254.6352326302164	757.5821709557084	2987.7822111740893	3.830716917477139	5.511484717515517	207.32444416429087	99.9999903689	499.999951844
1720.0.	746.8678762834392	253.13202740556358	499.999975922	751.4095277935163	1173.7310477845613	1354.3183479571755	539.1797023339907	0	18.294143768336628	13.629586327864697	789.8005529949654	0.10749727560298601	20.72792706293804	3979.164190421465	2.045767456127733	3.705663876144967	210.9152144670109	99.9999903689	499.999951844
1760.0.	796.102667951737	203.89723573726573	499.999975922	749.7656521947289	1262.5648215978629	1918.7715503020029	565.7046361562636	0	19.655534112431198	13.912071582563675	828.6317160591742	0.28466819824510703	33.77098985117558	3965.9439567105846	2.2180224575843	3.8535784125668053	210.59504492912728	99.9999903689	499.999951844
1800.0.	839.6342784691846	160.3656252198177	499.999975922	747.2825959491875	1299.3882313140925	2375.5871939785466	601.8744531585552	0	21.712696131886844	14.337965808642826	881.596991018825	1.220214217039898	70.34029169142673	3928.4391088515413	2.4913621189622	4.087976163449849	210.0873075168714	99.9999903689	499.999951844
1840.0.	876.933699467108	123.06620422189476	499.999975922	743.1577677723106	1314.6248457242136	2728.049115834091	645.4987396074285	0	25.07391780530929	15.101572312097119	945.4874126224045	9.632817521731942	201.01073062579454	3789.3560666124795	2.996639566450718	4.52816664127044	209.1418395915623	99.9999903689	499.999951844
1880.0.	907.7073414666204	92.29256222238236	499.999975922	734.4084671765052	1320.8700439883287	2993.5040940194854	694.6411647281135	0	32.09787345095657	16.826917262256842	1017.4655788985559	65.4373909503776	518.4189699288464	3416.143253880782	4.23829592941841	5.553013660341176	206.87533620952266	99.9999903689	499.999951844
