time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
68.0.	0	0.033642784396297004	0.00024481797049400003	8.60175324085826e-05	0.008767212899871	0.009347748740316	0.0010841248429260002	0.000555583315275	0	0.01072098273133	0.22382034625424002	0.8579498358226311	0.061797326032734	0	0.175985098886056	0.002987527786992	0.051268659083496	0.014709331840346002	0.8810676527444401	0.015032975165519002	0.094713339205203	0.019720114631434003	4.522639020986792e-05	0.9987882053428101
70.0.	0	0.026084791537947002	0.00017903875757800002	5.710792040597426e-05	0.009801648284556	0.0079860458287	0.001085085677018	0.0008729751068610001	0	0.016497168507119003	0.30133791036962904	0.801312679409647	0.056175938411319	0	0.17620432005387002	0.0029838356901700004	0.044844515126093006	0.014664460842560002	0.7902490134319581	0.015045744455492002	0.178080760130285	0.018859664102823002	4.640889972942527e-05	0.9988976344164581
72.0.	0	0.013146775704527	9.404712554224319e-05	2.3896365459356316e-05	0.011494307538733001	0.005808292721017	0.001083764674554	0.002187941865797	0	0.037642061381166006	0.525438781815016	0.600725763915784	0.045962495687489	0	0.18095342249791502	0.0028864623904120003	0.032587380047781	0.014536803231706	0.49027085438515206	0.015074997552423001	0.471121273600128	0.016590455546999002	5.001938838997936e-05	0.9990629943374371
74.0.	0	0.0020547805946570003	4.148968822986166e-05	6.7458002632903956e-06	0.01267644277664	0.003966477852968	0.0012428202285580002	0.010834789045615	0	0.11542309204463501	0.9803088335227961	0.15887129990092802	0.030758252669892003	0	0.18921552787595802	0.002727786491836	0.020400521843911	0.013936527769260002	0.010132762019324	0.015204396608694002	0.989710524773264	0.012010877244717002	5.024556729474596e-05	0.999264704705295
76.0.	0	0.00041002559142700004	3.7798478687403057e-05	4.534967147847597e-06	0.013402979024540001	0.003994445603729	0.0032794091702580005	0.07313164808117101	0	0.24251756996848903	1.047607441566887	0.032042752686671006	0.021613551713510003	0	0.18018318631840602	0.002891691190362	0.019274053346097	0.010406276983270001	0.009183935946158	0.016093195040398002	0.990685507689083	0.008991040092954001	3.3043360157880667e-05	0.9994309657884881
78.0.	0	0.000306703136034	5.98768968495552e-05	7.512599565145194e-06	0.017687094383657002	0.006631314301142	0.056839623549956	0.289074417769188	0	0.344906967391684	0.7510624832299311	0.013020227477507001	0.015852885569578	0	0.12640073231016502	0.0045585281042920004	0.02583264320929	0.002735653073996	0.014406883726512	0.020532923006344003	0.9853645278674861	0.009278626238751001	2.0510213477901902e-05	0.999534356778165
80.0.	0	0.0018654820828240002	0.002949192884859	0.000990783934942	0.036652756564231004	0.16604112306840602	0.993948539522961	0.590034760529773	0	0.333892682154521	0.046290929939158	0.002348021828552	0.013883901844843002	0	0.041596936838901005	0.023007311054707002	0.11186952348031001	0.0005163856162160001	0.19973164343724903	0.031711882991750005	0.796798497575807	0.015595036940788001	1.2425792830489191e-05	0.9961288693151381
82.0.	0	0.002245373638475	0.004667479066278	0.005855445864204001	0.013410873263949002	0.847731070079048	0.9969808943141911	0.7705976831049941	0	0.25902896651891705	0.0032482133252680003	0.0005343456397840001	0.004996307481047	0	0.005062458673487	0.17021654180343102	0.31955411589463	0.00036803906090600004	0.6951719121783411	0.04762017504885	0.291048361907217	0.037278131712817006	0.00154761129313	3.693989890963986e-05
84.0.	0	0.0030423264394120004	0.0037651456086710004	0.006655220462251	0.011240416954156	1.265034089772348	0.9971391524984861	0.796820925385596	0	0.18300054843936903	0.0018302956789490001	0.00048437459739200005	0.003611206817253	0	0.003713819548713	0.37502686934057805	0.533420423467818	0.000348770310561	0.9994870157233581	0.06336267499135101	0.000191314539475	0.08742576011614901	0.0020441177065200003	3.568810373652596e-05
86.0.	0	0.0033279288023120002	0.004491902952122	0.01166990942797	0.011674997387395001	1.359700939997949	0.9964972547688191	0.68166108875397	0	0.108619085811539	0.00176796342702	0.00049305392492	0.0059819795000220005	0	0.004573079153627001	0.5766109707008761	0.726318906054038	0.00039326930580900005	0.9997812876525891	0.07495490902393101	0.000160542521253	0.167405465703644	0.0043831966199830005	8.114144673575471e-05
88.0.	0	0.004066875786486001	0.005219536591378001	0.021605425438037	0.012814751517242	1.272139908482559	0.993333971834338	0.431534913389692	0	0.039265509524736	0.002071517090584	0.000644557062704	0.011940723088178002	0	0.005868525093363001	0.7686280969907481	0.899126303079093	0.0005538310224090001	0.9997502513715071	0.07940392290256801	0.00017949900204200002	0.275344522852502	0.0090904537757	0.00020213238815500003
90.0.	0	0.006447041215639	0.005659795760104	0.041373880855773	0.016279017061778003	1.013359768143062	0.39696401779619905	0.078288595182921	0	0.000758089608035	0.003296144283051	0.0012859141774330001	0.030064084397389	0	0.007988507526159	0.9399757689833771	1.041620640063412	0.001228254720043	0.999616981933318	0.07461271901873001	0.000264533488706	0.407803596948257	0.018452304473351	0.0007551905551570001
