time	a1	a2	a3	x1	x2	x3
37.0.	6.778388199995261e-12	1.816689089134434e-05	4.045127359919771e+16	0.345345067199647	1.799613567689089	9.999999999999147
37.0.5.0	6.22217036885817e-12	1.9148255747548803e-05	4.252525474644332e+16	0.339651479427778	1.780851092884101	9.999999999999483
38.0.	5.719594952936148e-12	2.025715894409531e-05	4.470557118096885e+16	0.334145291652235	1.770090055896432	9.999999999999691
38.0.5.0	5.264737450508861e-12	2.146709037471042e-05	4.69976748295376e+16	0.32881740219438804	1.767072516129566	9.99999999999981
39.0.	4.852408321346851e-12	2.274521409559471e-05	4.9407297145174984e+16	0.32365928938334104	1.7714582557912442	9.999999999999883
39.0.5.0	4.478052094876362e-12	2.4051857212658692e-05	5.194046343878662e+16	0.31866296607946204	1.7827961201986522	9.999999999999929
40.0.	4.1376616237108355e-12	2.534106663069233e-05	5.4603507945574184e+16	0.313820938410575	1.800493455453129	9.999999999999954
40.0.5.0	3.827705020120152e-12	2.656244666535086e-05	5.7403089663923336e+16	0.30912616827248	1.8237891431947761	9.999999999999972
41.0.	3.5450632429410698e-12	2.7664320862140464e-05	6.034620900647502e+16	0.304572039199	1.8517365673232562	9.999999999999984
41.0.5.0	3.286976654270204e-12	2.8597989879833403e-05	6.3440225304376104e+16	0.30015232525450103	1.883203108084642	9.999999999999988
42.0.	3.050999145209992e-12	2.9322538591745325e-05	6.6692875210075384e+16	0.295861162638816	1.916891854660538	9.999999999999988
42.0.5.0	2.834958673409484e-12	2.9809377607094233e-05	7.011229204256733e+16	0.29169302373564804	1.951388703118774	9.999999999999988
43.0.	2.6369232374260783e-12	3.0045609142857203e-05	7.370702612502786e+16	0.287642693360385	1.985233849802475	9.999999999999991
43.0.5.0	2.455171476992656e-12	3.0035463130577423e-05	7.748606616507643e+16	0.28370524699377003	2.01701150963488	9.999999999999991
44.0.	2.2881672169145906e-12	2.979945063096083e-05	8.145886173122731e+16	0.27987603081022	2.0454467721803242	9.999999999999991
44.0.5.0	2.134537380791108e-12	2.9371411174266073e-05	8.563534688173269e+16	0.276150643330528	2.069495464443305	9.999999999999991
45.0.	1.993052790596024e-12	2.879410760607036e-05	9.00259650049126e+16	0.272524918546859	2.088413019986355	9.999999999999991
45.0.5.0	1.862611442919404e-12	2.8114284254674685e-05	9.464169493319339e+16	0.26899491038397805	2.101791986001954	9.999999999999991
46.0.	1.74222391553764e-12	2.737808528809703e-05	9.949407839530235e+16	0.265556878375248	2.109563995343789	9.999999999999991
46.0.5.0	1.631000608816782e-12	2.6627479634219234e-05	1.0459524887755429e+17	0.26220727444303304	2.111968898700991	9.999999999999991
47.0.	1.528140572797607e-12	2.5897984790356114e-05	1.099579619632327e+17	0.258942730686791	2.109499279119632	9.999999999999991
47.0.5.0	1.4329217050359251e-12	2.5217653267784993e-05	1.15595627228364e+17	0.255760048089323	2.102831403087407	9.999999999999991
48.0.	1.344692136970131e-12	2.460706862108837e-05	1.215223417726398e+17	0.252656186062067	2.092753584544727	9.999999999999991
48.0.5.0	1.2628626522420099e-12	2.408001034261072e-05	1.277529254695085e+17	0.249628252757524	2.080100663306855	9.999999999999991
49.0.	1.186900002686334e-12	2.3644461948612842e-05	1.3430295802357838e+17	0.246673496083943	2.065699996451526	9.999999999999991
49.0.5.0	1.116321006532714e-12	2.33037088261292e-05	1.4118881792799432e+17	0.24378929536357702	2.05033110788255	9.999999999999991
50.0.	1.050687329374251e-12	2.3057361248497732e-05	1.484277234194044e+17	0.240973153581399	2.034698619612162	9.999999999999991
