time	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
19.0.5.0	0.882619945987104	0.0006876008308590001	0.42206485703748203	0.094627596144553	0.049999989750542005	2.494577227515364e-10	0.03	0.029167712902997002	0.0008322768475450001	0.0005446769539310001	3.9074459412826485e-05	0.199416148337197
19.0.75.0	0.8825108902367721	0.000637386603087	0.42219495814525904	0.09465676501488	0.049999989768686005	2.3131318648884261e-10	0.03	0.029167459946770002	0.000832529821916	0.0005049048679450001	3.622132887870888e-05	0.199458773571862
20.0.	0.8824097982931921	0.0005908397259130001	0.42231555823800404	0.09468380374288801	0.049999989785516	2.1448357266266683e-10	0.03	0.029167225465373002	0.0008327643201420001	0.00046803686576200003	3.357651873695553e-05	0.19949828640101602
20.0.25.0	0.8823160885695781	0.000547692319807	0.42242735120988506	0.09470886790072701	0.049999989801125	1.988742730781024e-10	0.03	0.029167008109245003	0.00083298169188	0.00043386090466600004	3.1124819792261394e-05	0.19953491407666601
20.0.5.0	0.88222922195576	0.000507696076846	0.422530980270422	0.09473210169696901	0.049999989815602004	1.8439738966540811e-10	0.03	0.029166806627441002	0.0008331831881610001	0.00040218042318	2.885213307660401e-05	0.19956886725934503
20.0.75.0	0.8821486987153091	0.00047062083032900005	0.422627041647523	0.094753638806837	0.049999989829028	1.7097127240206232e-10	0.03	0.029166619860421003	0.0008333699686070001	0.00037281321093600005	2.6745388830609114e-05	0.199600341229261
21.0.	0.8820740556093901	0.00043625322896400005	0.42271608801989	0.09477360314175401	0.049999989841479006	1.5852008704926658e-10	0.03	0.029166446733369003	0.0008335431081100001	0.00034559036103	2.4792471393753804e-05	0.199629517009055
21.0.25.0	0.8820048632307981	0.00040439550797400004	0.422798631698575	0.09479210956265201	0.049999989853026006	1.469734110785305e-10	0.03	0.029166286249998	0.0008337036030270001	0.00032035529883300004	2.298214957295537e-05	0.19965656240461901
21.0.5.0	0.8819407235327681	0.00037486435004700005	0.422875147576026	0.09480926454115701	0.049999989863734	1.3626585620478e-10	0.03	0.029166137486809	0.0008338523769240001	0.000296962881687	2.130401209038238e-05	0.199681632969956
21.0.75.0	0.881881267538357	0.00034748982956800005	0.422946075859626	0.09482516677244701	0.049999989873663005	1.2633671599121642e-10	0.03	0.029165999587772003	0.0008339902858900001	0.00027527856430500003	1.9748407740348834e-05	0.199704872901616
