copasi_path	atol:1e-3_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-3_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-6_linSol:1_nonlinSol:2_solAlg:3	atol:1e-6_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-12_rtol:1e-10_linSol:1_nonlinSol:2_solAlg:3	atol:1e-10_rtol:1e-12_linSol:1_nonlinSol:2_solAlg:3	atol:1e-16_rtol:1e-8_linSol:1_nonlinSol:2_solAlg:3	atol:1e-14_rtol:1e-14_linSol:1_nonlinSol:2_solAlg:3	atol:1e-8_rtol:1e-16_linSol:1_nonlinSol:2_solAlg:3
copasi/models/beuke2017/beuke2017_fig6__model9_beuke10.cps	0.0025226828297629914	0.0012396918617512609	3.57605803529547e-06	3.600349334022026e-06	4.1857969935721915e-07	inf	7.556525108223292e-09	2.8890226910866745e-08	7.665331443770915e-09	5.457597536868823e-09
copasi/models/bier2000/bier2000_fig3_user__model0_bier2.cps	0.05819386418958733	0.09740330674865386	0.00010029654226091959	0.00012663576245031664	5.575055856544769e-05	6.643786908611339e-07	6.517334344960614e-07	2.440081136840854e-06	6.641947598446088e-07	4.079030452240389e-07
copasi/models/bindschadler2001/bindschadler2001_fig5b_user__model0_bindschadler1.cps	0.023163683181339878	0.011302238951084436	3.833436694884358e-05	1.0647800599740575e-05	7.732143610636373e-06	9.544679849445738e-08	9.487591500074531e-08	4.5783890825657965e-08	9.401465132139734e-08	8.615805406160054e-08
copasi/models/borghans1997/borghans1997_fig12a_user__model0_borghans3.cps	0.7584940878440753	0.23827109029202564	0.03419299997906852	0.0007687582166460906	0.01610215609192847	2.394928935159427e-05	4.5677384094633865e-06	1.4409772543583113e-05	2.4371605667687713e-05	0.001115678480367543
copasi/models/borghans1997a/borghans1997_fig5_user__model0_borghans1.cps	1.0572023628724723	0.2343420363923994	0.028212684051316828	0.004987111809102131	0.015016266187565462	1.338981175356874e-05	1.295737571778428e-05	1.6161414180865098e-05	1.3191251951769814e-05	9.25508184335642e-05
copasi/models/borghans1997/borghans1997_fig8_user__model0_borghans2.cps	0.5226562441395916	0.5331306589879958	0.012121364493464066	0.003937092469813554	0.003987608686199342	2.671994793980078e-05	2.027983863020025e-05	3.257837170730972e-05	2.77669389531189e-05	7.398592547033909e-06
copasi/models/brands2002/brands2002_fig2_user__model0_brands1.cps	0.0008262278954739368	0.00021720462310744208	1.2195715883058697e-06	1.7460235558674807e-07	1.0729492495968592e-06	5.017811902979945e-10	6.106996567210389e-10	7.860357160406876e-10	5.006269291330988e-10	1.214478256040471e-08
copasi/models/bucher2011/bucher2011_fig2_user__model0_bucher1.cps	0.00025900106738262446	0.00025949011658334863	1.3589538738085722e-06	1.3263995143867413e-06	3.752212726253976e-08	1.452305221647908e-09	1.5736711187656296e-09	4.0687651919323296e-08	1.580982317387179e-09	1.4917855643313091e-09
copasi/models/bungay2003/bungay2003_fig4_user__model0_bungay3.cps	11.825202723690555	11.825203331262566	11.825203412492993	11.825203413375258	11.825203413452648	11.825203413715784	11.825203413715784	11.825203413715784	11.825203413715784	11.825203413715784
copasi/models/bungay2003/bungay2003_fig4_user__model1_bungay3.cps	0.1043491077650221	0.010843719669841238	0.0004926997344283203	5.647892125138798e-05	0.0004359806370189461	2.0327018402295293e-06	1.7571383855160306e-06	1.9023893479368667e-06	2.059276973940706e-06	3.6443987856563293e-06
copasi/models/bungay2003/bungay2003_fig4_user__model2_bungay3.cps	0.2019498031810158	0.009416060927979978	0.0005143813640257057	3.6201539149686005e-05	0.00028813677852464626	1.3828325578814781e-06	1.1578026697697249e-06	1.3336448773413084e-06	1.4160954976001467e-06	1.0652771394716321e-06
copasi/models/bungay2003/bungay2003_fig4_user__model3_bungay3.cps	33.413225051995006	33.44204025381949	33.459364220617644	33.45937828979415	33.45935295651335	33.45938251224319	33.459382503586106	33.45938231074512	33.45938252196033	33.45938236286431
copasi/models/bungay2003/bungay2003_fig4_user__model4_bungay3.cps	62.06198338434468	62.087580374673585	62.094954079205294	62.09500033978231	62.094974875678666	62.095003870481385	62.095003855592914	62.09500386383474	62.09500387517835	62.09500369731408
