time	Inh	Inh_T1	T1	T1_alpha	T2	T2_beta	T3	T3_Inh	alpha	alpha_T1	alpha_T1_alpha	alpha_T2	alpha_T2_beta	alpha_alpha_T1	alpha_beta_T2	beta	beta_Inh_T3	beta_T3	beta_T3_Inh
302.0.5.0	1.407700974587403	35.69900195297324	2.795628322931374	0.0013548819145450001	3.848126410730135	0.036023993422326005	0.776078748047057	36.63433500332657	0.032223824669366005	0.000249915971271	0.000571215753574	0.000276504129978	0.0009201890005030001	0.0031937104561050003	0.0046529027170500005	0.24300962726143502	0.697780858268883	0.00022428045095	0.39158110990656503
308.0.	0.9626131467930441	35.052325280586366	3.442697951241828	0.0012789992963660002	3.861936285565043	0.023726128752045002	0.985547476662844	36.79958312393431	0.025603279557026	0.00023730405652500002	0.0005241783026810001	0.00021772814853500001	0.0006781015735640001	0.002936286516341	0.003441755960805	0.158743746280087	0.45780962261707303	0.000178994910884	0.25688078187490804
313.0.5.0	0.676133006297394	34.34436102272939	4.150053494298362	0.0014596410868730001	3.869481502648782	0.016539025280673	1.218586380806058	36.80852662479839	0.025065187471535	0.00027260265557900004	0.0005827593694900001	0.00021119006392100002	0.0006184528003	0.0032704798604230004	0.003149829206316	0.106068466707692	0.30279532503913403	0.00014345684803800002	0.169948212508389
319.0.	0.49402877044353705	33.59432177296505	4.8981213325415425	0.00200474194817	3.872834402003169	0.012665237522036	1.46989696894292	36.711002611358765	0.030074252725048004	0.00037694937790000004	0.000781526539246	0.00025114593582100005	0.0006955782408450001	0.004393676628215	0.0035536362981210003	0.07396624489492	0.20422885439694402	0.00011767170175900001	0.11475389359961001
324.0.5.0	0.38173313347478205	32.82181328060202	5.665969199470856	0.003284513840475	3.8723549947996982	0.01143209794969	1.733387082973413	36.54132096269804	0.04377933017571	0.0006217130298040001	0.0012534070579870002	0.000362483951241	0.0009555239113090001	0.0070578859989860005	0.0048948993880520006	0.056411187760229006	0.144020107545689	0.000103405134269	0.081168441648612
330.0.	0.319883570806539	32.04756569519962	6.429121491502629	0.006339298814943	3.866407486199713	0.013264974301132002	2.001741689172143	36.32204645208532	0.07628420045879601	0.0012076187398270002	0.0023748446912490004	0.000626166479396	0.0015815963743910002	0.013391051051866	0.008119776645358	0.051578543303151	0.112337607327257	0.000106633384585	0.06376761803071701
335.0.5.0	0.303935160982277	31.29764421617465	7.15071504149238	0.014170580547212002	3.849085607077245	0.020597475158653	2.264329501292175	36.06542686668394	0.156499713407027	0.002715786787641	0.0052309014792000005	0.001271465232268	0.0031015984453020003	0.029523473519046002	0.01594385408652	0.06353719048628201	0.10796697151098401	0.000145291268185	0.062131369244726
341.0.	0.35275847869880805	30.616591530524058	7.753823700833234	0.035748252182696005	3.8027516708383633	0.041017007361509004	2.500561132977213	35.77014834668408	0.36999814406131304	0.006890923437333001	0.013086442874235	0.0029578841677030004	0.0070510307873180005	0.07385915014857901	0.036222406845095	0.109792452411113	0.14442884228994302	0.000272846556515	0.08458883149226501
346.0.5.0	0.541618187365119	30.10416909243973	8.043676837072267	0.096859440475345	3.676679960627485	0.09607471136871801	2.660529828438161	35.40577983399892	0.974699501854647	0.018784468150800003	0.035674768551443005	0.0075280281086630004	0.017961709599121002	0.20083539331055	0.09175559029600301	0.24542973776871901	0.271706648907369	0.000643576734539	0.16134011192101602
352.0.	1.099629693973089	29.999386903606112	7.563338129636283	0.251705895358307	3.346766382219794	0.23622812965966603	2.617668723644171	34.864959454507435	2.673050144813022	0.049210507004787005	0.09671541757515201	0.018926582765987	0.04788118974021301	0.539643146819497	0.24019771561433	0.624894689339435	0.635736858759088	0.001609170587984	0.38002579250134905
357.0.5.0	2.58093822068217	30.73352374993658	5.79937798618699	0.49327070759066705	2.676855020610109	0.507480955317385	2.133881130783303	33.878234034101474	6.546060387836687	0.09779976123784101	0.21257618524799501	0.038021616559150005	0.114696141646588	1.163451609800073	0.552946265866761	1.5468930169230362	1.555512567885797	0.003269968740111	0.9291022984893541
363.0.	5.5242991092860425	32.49082831349148	3.5528632219335723	0.5540501957458881	1.9672801751105	0.78313716794289	1.190709182612266	32.150908108736125	11.00567970823561	0.111821646392218	0.281065054196945	0.049242323579074	0.19421748586145302	1.5093715682400282	0.8961228475060761	3.018329679927333	3.238320305794952	0.0036667669890760005	1.916395635867628
368.0.5.0	8.82698985439343	34.60528287207964	2.169586273268751	0.36449800392151505	1.778577138551622	0.9023537574377251	0.454302389609175	30.17808230191769	10.736166664935078	0.07332485411812201	0.202244752962422	0.045020691903434	0.20927796033993	1.085063243649652	0.954770451767282	4.110549211737552	4.966928265687174	0.002103899030816	2.898583143755196
374.0.	10.464327572982079	36.2296007239386	1.480834846642825	0.16598128136324602	2.107060479524666	0.8719726037490391	0.208142001416514	29.260862302876237	6.560885271279046	0.032393669943503005	0.09200876961800901	0.032845002400580005	0.155514215597808	0.49918070849392104	0.7226076987279011	4.076238627234246	5.728714230875848	0.00115808231336	3.301123382518097
379.0.5.0	9.966717792091503	37.069854854611535	1.14899062883077	0.060472076167642004	2.687275709856677	0.6916178302578421	0.171193255819652	29.905634496816642	2.929137572150816	0.011435518367827	0.032269649844133004	0.018645819593442	0.085263433391027	0.176977272178222	0.407197206901006	3.179642790727325	5.362443266390041	0.000840448675525	3.059888532298197
385.0.	8.12535565648957	37.324195624283945	1.078928683183051	0.021579843253016002	3.215963428550926	0.44627427256217805	0.198368289978005	31.532624260774643	1.118738980602383	0.004006042994626	0.010929935302001	0.008481767889705	0.037277613551188006	0.060359870983479	0.182002917445999	2.129133249383791	4.320523097725914	0.000661515149697	2.44782283637181
390.0.5.0	5.9731232849154505	37.25523593280269	1.2067759911934681	0.008767588316869001	3.544767181911399	0.254500424104935	0.261018036650708	33.31543569462659	0.42028752376694506	0.001613209958952	0.004217653898389	0.003485605840291	0.014664558791511002	0.023389623829746003	0.07258222935185901	1.338088050832758	3.147761488787669	0.0005227014359330001	1.775262078499177
396.0.	4.140980269245485	37.00023930293826	1.481991322118713	0.004222878681728001	3.71100359584249	0.14243153929701002	0.35580174695751804	34.7644716909489	0.17115925286539702	0.0007740972157200001	0.0019467923057610002	0.0014696607020680001	0.005858723239670001	0.010825606739941	0.029236480918757003	0.8339609771724831	2.162715507793006	0.00041459897092	1.21659645532973
401.0.5.0	2.795829692996178	36.61243424436782	1.8776369436956322	0.002417409279919	3.79084680683231	0.08280914751797701	0.48288642733458703	35.764022293673094	0.08028063066846	0.00044312601717500004	0.001075433739044	0.0006948415835040001	0.002600181314675	0.005992842900527	0.013049022751529001	0.5252182468904161	1.442437509314525	0.00033088061432200004	0.8103228890635631
407.0.	1.876096915671912	36.11549754625038	2.3778562287252942	0.0016531400414660001	3.830857982993864	0.050554526355468005	0.6419124885929111	36.3751423735207	0.045004603305251	0.00030390618606100005	0.000712282236206	0.00038819333153300006	0.001357173927273	0.003976896560716	0.006842123391857	0.335151214884479	0.9495987864895981	0.000264778438797	0.533081572958085
412.0.5.0	1.2683119336509932	35.52646736495071	2.968168589532719	0.00136051096039	3.852247697734167	0.032272376226635	0.831080282815127	36.69631568202065	0.030786351049117002	0.00025133915124200004	0.0005690326490820001	0.00026349396418200003	0.0008605377621550001	0.0031831627559760003	0.0043558943128550005	0.21673941579477202	0.622856784556143	0.000211671095325	0.34953557951283304
418.0.	0.87352189737782	34.86263370470654	3.632125260827044	0.0013533005002810002	3.864105970711001	0.021583013708125	1.047046591967003	36.81310083601313	0.025922140900970003	0.000251534829588	0.0005505600188580001	0.00021985218495800001	0.000672837061953	0.0030856391178100003	0.0034183263339580003	0.142508031436752	0.40974762724690206	0.00016914094379300002	0.22993580382925202
423.0.5.0	0.619980988399616	34.142649705273854	4.351156082987836	0.001625608592374	3.870397522645056	0.015409998774406	1.285191911753472	36.789219259946414	0.026856413320570004	0.000304162580077	0.000644683581825	0.00022569998327300002	0.000650559159277	0.003619756984143	0.0033162194379810005	0.09627629307831001	0.272476469553456	0.000136301506553	0.15297605724020302
429.0.	0.45968112655354704	33.38594934128251	5.105246051775659	0.002344521790182	3.872684615553112	0.012302746068892001	1.539970792207316	36.6696046567354	0.034007047779566	0.00044164950547900003	0.0009085221267230001	0.00028329231236800005	0.0007736839562700001	0.005109913519567	0.003955662109352	0.068608033202903	0.185823376718309	0.00011358497576600001	0.10448758936329901
434.0.5.0	0.362698911843136	32.612418520783315	5.872676676366823	0.004019908485943	3.870835016954085	0.011876551768079	1.8049866618381651	36.48496064427569	0.052048688917194004	0.000762256661538	0.0015260710657690002	0.00042990554370500003	0.001119593839736	0.008596566636727001	0.005738931894389	0.054676517181836005	0.13419218618838	0.00010365937790900001	0.075756848319965
