time	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
477.0.	0.000100526731228	3.184177880387168e-06	8.57622328105406e-11	0	4.0971036432357964e-07	6.055160803416924e-18	4.589587644999806e-06	5.519135451793953e-07	0.043922318662815006	8.530869289079671e-07	0.05758820638165801	0.036941214494336	9.357359464338458e-09	0.8615386625417051
486.0.	0.00010084443508900001	3.009300270610564e-06	8.430049110336753e-11	0	4.109887783715807e-07	6.302648460845382e-18	4.327373998888272e-06	5.20381661775431e-07	0.041379283288134006	8.359030198808115e-07	0.054126979521248	0.036939697343215006	9.59773624634532e-09	0.867544926217636
495.0.	0.000101147529097	2.842566885617074e-06	8.279697294335098e-11	0	4.121027892627408e-07	6.553267753628719e-18	4.078732061639305e-06	4.904817919614486e-07	0.03896948594398	8.185324679827276e-07	0.050864063944686004	0.036928794473964	9.838072328368409e-09	0.873229003300504
504.0.	0.000101436402378	2.683761921651941e-06	8.125764950794087e-11	0	4.1305898374024394e-07	6.8068533902266816e-18	3.843102908941101e-06	4.6214672636832606e-07	0.036687599985245005	8.010252258775496e-07	0.047789138199128	0.036909032282346	1.007830836213271e-08	0.8786060162779481
513.0.	0.00010171146616200001	2.5326558031443287e-06	7.968819782716005e-11	0	4.1386394232118365e-07	7.063241514609515e-18	3.619936798807012e-06	4.35310359603776e-07	0.034528308769727005	7.834277541296051e-07	0.044892311388732	0.036880915258164004	1.0318388353174052e-08	0.8836906689906431
522.0.	0.000101973149319	2.389008058103005e-06	7.809399453160272e-11	0	4.1452420961942546e-07	7.322270146368197e-18	3.4086943279905266e-06	4.0990782931896943e-07	0.032486336160457	7.657831304311221e-07	0.042164115587223	0.036844926334873004	1.0558259519406341e-08	0.8884972233635381
531.0.	0.00010222189420400001	2.2525699437801328e-06	7.648011252882916e-11	0	4.1504626738451226e-07	7.58377958290963e-18	3.208847486061888e-06	3.858756429708196e-07	0.030556472653105002	7.481311684018719e-07	0.039595497391557	0.036801527288722005	1.079787215212747e-08	0.893039481321755
540.0.	0.00010245815285700001	2.12308682741928e-06	7.485132032113003e-11	0	4.154365103002689e-07	7.847612763531904e-18	3.0198805983836168e-06	3.631517912257504e-07	0.028733597516706	7.305085438326634e-07	0.037177808699815004	0.036751159182625004	1.1037179479770609e-08	0.8973307714245521
549.0.	0.00010268238351900001	2.000300329235939e-06	7.321208367604001e-11	0	4.1570122453563456e-07	8.11361559561603e-18	2.841291152744651e-06	3.416758473743882e-07	0.027012697319417002	7.129489264499074e-07	0.034902796801858	0.036694242849724	1.1276137534675642e-08	0.901383939762171
558.0.	0.00010289504749200001	1.8839502367297439e-06	7.15665693647967e-11	0	4.158465689968576e-07	8.381637243559423e-18	2.67259050746375e-06	3.21389052493555e-07	0.025388881192880002	6.954831154787861e-07	0.032762593874123	0.036631179411489	1.151470502312237e-08	0.905211344675755
567.0.	0.000103096606323	1.773776200998991e-06	6.991865069229775e-11	0	4.1587855919443065e-07	8.651530381411697e-18	2.5133044813628437e-06	3.02234386403427e-07	0.023857393169394003	6.781391774754847e-07	0.030749705970620003	0.036562350825176004	1.175284319883333e-08	0.908824854879242
576.0.	0.000103287519299	1.669519226933972e-06	6.827191455410597e-11	0	4.158030536095884e-07	8.923151410456633e-18	2.362973828158755e-06	2.8415662472604293e-07	0.02241362190588	6.60942585082783e-07	0.028857001600985	0.036488120455593	1.199051574012058e-08	0.912235850583437
585.0.	0.000103468241251	1.570922970029153e-06	6.662966977084998e-11	0	4.1562574242321497e-07	9.196360643216384e-18	2.221154599555302e-06	2.671023825598528e-07	0.021053108087844	6.439163555367506e-07	0.027077699983789002	0.036408833666249	1.2227688630818781e-08	0.9154552272457501
594.0.	0.000103639220637	1.4777348531062638e-06	6.499495646721732e-11	0	4.1535213845411866e-07	9.471022455538355e-18	2.08741840267179e-06	2.510201454478591e-07	0.019771549785655002	6.270811879144575e-07	0.025405359059425002	0.036324818425237	1.2464330045115219e-08	0.918493401593631
603.0.	0.00010380089789800001	1.3897070165143138e-06	6.337055628093078e-11	0	4.149875701430452e-07	9.747005408565045e-18	1.9613525584552248e-06	2.3586028843854827e-07	0.01856480601457	6.104555982628321e-07	0.023833863342081003	0.036236385921430005	1.270041023635814e-08	0.9213603195951061
612.0.	0.00010395370406100001	1.306597115405462e-06	6.175900320605152e-11	0	4.1453717641288746e-07	1.002418234248617e-17	1.8425601684322349e-06	2.21575084124068e-07	0.017428898729486	5.940560518868815e-07	0.022357411684883	0.036143831186926004	1.2935901429897182e-08	0.924065466075449
621.0.	0.00010409805957300001	1.228168977513256e-06	6.016259489413675e-11	0	4.140059032335449e-07	1.030243044403472e-17	1.7306600976019778e-06	2.0811870059367211e-07	0.016360013465472	5.778970922012965e-07	0.020970505026357	0.036047433721973006	1.317077771998401e-08	0.9266178757044871
630.0.	0.00010423437335100001	1.154193134518587e-06	5.858340425579425e-11	0	4.133985017212767e-07	1.058163128971871e-17	1.625286881492596e-06	1.954471902671002e-07	0.015354498815937001	5.619914656632528e-07	0.019667934180239002	0.035947458118968004	1.3405014970738191e-08	0.9290261451040841
639.0.	0.000104363042018	1.084447239611225e-06	5.7023291223648235e-11	0	4.1271952760634275e-07	1.0861670866781902e-17	1.5260905654370132e-06	1.835184705765691e-07	0.014408864921991001	5.463502424062727e-07	0.018444767724367	0.035844154682458	1.363859072116182e-08	0.931298445849525
