time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
10.0.08.0	7.89052999038373	1.7352035658850231	5.4317678598883	0.24989211722477303	3.321881728139107	0.25056784604091903	0.23841101463312703	0.622842082216369	0.772223046458949	0.33166066767330504	8.258187073432673	1.795260786177845	0.6872940969702871	2.996223683046913	0.855349703750616	0.117945104261957
10.0.799999999999999.0	7.991860802085422	1.6838362179255562	5.2341065272360074	0.250232329402098	3.758039985330391	0.225961112210865	0.241833115538184	0.573073801297163	0.783117653898702	0.271800335657355	7.854568188336258	1.261526968519123	0.6946917913663501	2.303980033759837	0.7533713615303641	0.115593889331094
11.0.52.0	8.09586582155433	1.648033163707431	4.875898652437427	0.25019753079392604	4.076083060024134	0.20385640089353801	0.244295975207475	0.5152625766994601	0.7924284018679271	0.236145590777727	7.197828334460784	0.7652172375763331	0.7005787586904421	1.624841676690657	0.6561533215604071	0.11277727760467701
12.0.24.0	8.20069013064931	1.626198917972162	4.397266572966935	0.249788960000996	4.24923801392866	0.18652170644745902	0.24598215657457903	0.458680235043852	0.800478491778554	0.216061286598971	6.364315444889486	0.363242027929199	0.7049719337572771	0.9892657334485291	0.558841590303482	0.10931789818029
12.0.959999999999999.0	8.30535535477833	1.616236208261269	3.84027762119864	0.24897086202343702	4.268046912733143	0.17466082217540302	0.24703565779813302	0.40815397477061804	0.8075455620972931	0.20667832602324201	5.47690758734479	0.119190152116697	0.707839957772032	0.448181374298429	0.457047048142102	0.10473580267958701
13.0.68.0	8.409264753585534	1.616109727641057	3.255174502557413	0.24766770901766003	4.138409892964476	0.167959554711301	0.2475555726328	0.36532093229730805	0.813858952311426	0.205539579582103	4.670094416028144	0.030370674465541002	0.709163948219039	0.109176392688641	0.358812284863512	0.09843072301699601
14.0.399999999999999.0	8.511973354299574	1.624075017507403	2.701485890008171	0.245786297585446	3.8814483408513913	0.16570920334226602	0.24759778634812302	0.329832663969824	0.819602816004904	0.21150604932691403	3.985802315641844	0.010796489297285002	0.708981973481696	0.014988679371808	0.29011594786069	0.09116150444569501
15.0.12.0	8.61307209886769	1.638729806001857	2.218359506914749	0.24325564767332403	3.5300758865895583	0.16715611972684802	0.247180743798176	0.300329692730032	0.824922103434498	0.22415381607664703	3.388402447782174	0.008336447837975	0.707302059786939	0.00503449037292	0.250654362021417	0.08503232485270501
15.0.84.0	8.712112082553192	1.658998347140877	1.805308396148628	0.239997903533422	3.11789755589719	0.171631778024592	0.24628536483117403	0.27503400963824504	0.829929374446113	0.24361545893668102	2.8507347033339903	0.010146346773749001	0.704015989647507	0.0055340788319360006	0.223053644269874	0.080290017554535
16.0.56.0	8.808526027506236	1.6841137786618492	1.447711249382323	0.235844409435075	2.671858624283103	0.178600446491601	0.24484064941227002	0.252002076486032	0.834711470656542	0.27067889180701904	2.3621378750577913	0.014593430282980002	0.698874459896149	0.008065183380804001	0.19910047011942703	0.07610023579411
17.0.28.0	8.901520367364315	1.713613413766847	1.132989718293499	0.23045285170259402	2.212315656647162	0.18766005766597602	0.24269284576972103	0.22926823814423103	0.8393357002092781	0.306921729199075	1.918726188033439	0.023026956554532	0.691445875211328	0.012946939359162002	0.17595562473662202	0.071805474732219
18.0.	8.989911181723912	1.747344105604821	0.8535192576321221	0.22318557349442703	1.7553961820475852	0.198504655247346	0.239544578509847	0.20493289167903803	0.843855362464427	0.35488731896146003	1.521143580319385	0.039100187237137006	0.6810385882472271	0.022474401414756002	0.152880605219707	0.067025139990252
18.0.72.0	9.071863711817262	1.7854768921539201	0.6063869463778281	0.212861412234492	1.315415625741504	0.21086897425367002	0.23482174487439403	0.177248475471478	0.848314528391623	0.41832206399312105	1.176587233950956	0.070437964340614	0.6666264474664461	0.041921451765409005	0.13081741738268401	0.06166808081132401
19.0.439999999999998.0	9.144485052026672	1.828522243981297	0.39321235618847705	0.19722397807778702	0.9071310215199561	0.22446913423929502	0.227351244276624	0.144861143674512	0.8527520260592281	0.50237221088645	0.9038637326063731	0.13126302242852	0.647038235431674	0.083017782840477	0.11331779533463202	0.05629945196342501
20.0.16.0	9.203252108892189	1.877308188604811	0.22096495322306503	0.17197827888713402	0.548193565039514	0.23894640654114602	0.21449170515599103	0.10749432787397001	0.8572044286927021	0.613356562282113	0.7387914407729631	0.24147106801287602	0.622394821239559	0.16916022166997002	0.10853337579498301	0.053010689738397
20.0.88.0	9.241458755522784	1.932809800200662	0.10320286449990401	0.131239999707975	0.262676727031514	0.25382041999556004	0.18962761410210402	0.06745472256743701	0.8617073384335101	0.756998827518462	0.7288030593804461	0.41274291489438103	0.5976306650998511	0.333093075504169	0.131600544871602	0.055740645862671
21.0.599999999999998.0	9.250514781286142	1.9955530054291342	0.050889150097726	0.081537450126918	0.08438212321766901	0.26845799962808503	0.137971268589519	0.031895114306012	0.8662931292144671	0.9325441857851071	0.9075557649645251	0.63067950325513	0.5819332816560421	0.589521227240658	0.20297351919346202	0.06674690508675
22.0.32.0	9.222783142534855	2.0642564796305782	0.053592295319989006	0.056128910594912006	0.023360804885060003	0.282093598269962	0.064377955839319	0.011174787864594	0.870981789672835	1.123944184778616	1.266928135153147	0.864961996221507	0.5791695286616271	0.911827984848335	0.332347985769594	0.082044365750209
23.0.04.0	9.15556452127524	2.135098684203319	0.10783309632709201	0.068271623519725	0.014460849061183001	0.29408767967192	0.025286136715516	0.004684833822109	0.8757661504219061	1.311748442592025	1.7530975471030512	1.09428206494784	0.5858134778381461	1.26122140640979	0.49841814491518005	0.09567780865926301
23.0.759999999999998.0	9.050481644611983	2.203634687090981	0.23500794939899503	0.10171376405853201	0.021759105332065	0.304239808111115	0.020990473307659	0.004749951592113001	0.880608245333471	1.488413970963444	2.297936365827748	1.3113720479873021	0.5971631119062061	1.615719693051572	0.66122180215391	0.10530461214423001
24.0.48.0	8.911468732569784	2.266056173130135	0.45407906807333503	0.13825817505620402	0.043463578802575	0.31264632979516305	0.033546299120305004	0.009466452196633	0.8854505033104181	1.6478871003352271	2.855350354019528	1.515401382018505	0.6101826721092111	1.96652987982232	0.7937671058865641	0.111385600557414
25.0.2.0	8.744343246733589	2.3189494774858233	0.7604268555114281	0.168786578887367	0.08301559744113801	0.31947732120029804	0.055783594752146004	0.020395013501239	0.8902258023421631	1.780808758039719	3.40806408436636	1.7073279194757571	0.623317356255345	2.310375613725876	0.8916336588369621	0.11507129536823
25.0.919999999999998.0	8.556781666266374	2.358905937728912	1.1344047796484311	0.19171596394999602	0.144244550343672	0.32487893887114605	0.08280207207649201	0.040440645028697	0.8948615745846541	1.874684001123967	3.953783808042111	1.888400118385157	0.635851907204657	2.646059608585384	0.9620753424319661	0.11731409455050801
26.0.64.0	8.358240565828869	2.3824010708405883	1.555793893524931	0.208276243219176	0.22943863868966602	0.328941861498233	0.1102551916584	0.07295607580475101	0.899280018497659	1.9162819981681212	4.4933747885272854	2.059709482707989	0.6474886834552981	2.973050563760559	1.013649777876578	0.11872696317978701
27.0.36.0	8.159690197629939	2.386106901958165	2.009192084079887	0.220111166357943	0.33963251705102204	0.331694529176681	0.135341668254815	0.12100242872463401	0.903397053318962	1.895532750074442	5.026720243965509	2.222025827017316	0.6581306469517291	3.290774199691224	1.05262088788965	0.11966363299133
28.0.08.0	7.973189943691053	2.367563776081031	2.483886623970128	0.22858986974436302	0.47684619794812205	0.33309863772435805	0.15696819285795902	0.186675275035406	0.9071221094209251	1.808772794999852	5.552447602865305	2.375638988681863	0.6677770437819981	3.597998757040768	1.082918742521714	0.12031856785570201
