time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
168.0.	1.266984642781296e-113	7.112693470141431e-06	2.887306520353731e-06	5.165803310552311e-11	1.4622293561969482e-114	6.000111742663873e-06	-6.766738130747054e-34	2.112530069444451e-06	9.504856552326791e-15	1.634006969659501e-10
171.0.	7.307247878688005e-117	7.112693470125922e-06	2.887306520326263e-06	4.20136980294695e-11	8.433308503069106e-118	6.000121386998951e-06	-6.752005288737827e-34	2.112530069428945e-06	9.54783098773387e-15	1.634006969659501e-10
174.0.	4.214405586114702e-120	7.112693470111034e-06	2.8873065202998922e-06	3.416991929417314e-11	4.863853403471021e-121	6.0001292307776846e-06	-6.738977628818721e-34	2.112530069414057e-06	9.589089899977618e-15	1.634006969659501e-10
177.0.	2.430629799226651e-123	7.112693470096743e-06	2.887306520274574e-06	2.779054068868998e-11	2.805194417095876e-124	6.000135610156291e-06	-6.727333542028264e-34	2.112530069399764e-06	9.628701772092104e-15	1.634006969659501e-10
180.0.	1.401849228833999e-126	7.11269347008302e-06	2.887306520250266e-06	2.260216493696644e-11	1.6178768282963022e-127	6.000140798532044e-06	-6.7168127220740625e-34	2.112530069386041e-06	9.666732353294646e-15	1.634006969659501e-10
183.0.	8.085070219281174e-130	7.112693470069846e-06	2.887306520226929e-06	1.8382436871612977e-11	9.33099472744545e-131	6.0001450182601086e-06	-6.70720428505584e-34	2.1125300693728662e-06	9.703244768118737e-15	1.634006969659501e-10
186.0.	4.663009338392121e-133	7.112693470057197e-06	2.887306520204523e-06	1.495051408930164e-11	5.3815878366526035e-134	6.000148450182894e-06	-6.698337316690727e-34	2.112530069360217e-06	9.738299621190443e-15	1.634006969659501e-10
189.0.	2.689358966614555e-136	7.1126934700450545e-06	2.8873065201830127e-06	1.215931669427211e-11	3.103794235187191e-137	6.000151241380287e-06	-6.690073208575072e-34	2.112530069348073e-06	9.771955097822135e-15	1.634006969659501e-10
192.0.	1.551069518939466e-139	7.112693470033397e-06	2.88730652016236e-06	9.889223981762805e-12	1.790092245409375e-140	6.000153511472999e-06	-6.682299523665058e-34	2.112530069336413e-06	9.804267060590579e-15	1.634006969659501e-10
195.0.	8.9456881080164e-143	7.1126934700222015e-06	2.887306520142531e-06	8.042947923837008e-12	1.032423544945956e-143	6.000155357749054e-06	-6.674925014307556e-34	2.11253006932522e-06	9.835289142059676e-15	1.634006969659501e-10
198.0.	5.159364860746069e-146	7.112693470011454e-06	2.887306520123495e-06	6.541363753601917e-12	5.954432677378664e-147	6.0001568593332245e-06	-6.667875618097851e-34	2.1125300693144726e-06	9.865072833801695e-15	1.634006969659501e-10
201.0.	2.975628643083084e-149	7.112693470001138e-06	2.8873065201052182e-06	5.320118961621178e-12	3.434178606541836e-150	6.000158080578016e-06	-6.661091202324381e-34	2.112530069304155e-06	9.893667571864885e-15	1.634006969659501e-10
204.0.	1.7161736106130113e-152	7.112693469991233e-06	2.887306520087671e-06	4.32687537827508e-12	1.9806391877490413e-153	6.000159073821601e-06	-6.654522940213224e-34	2.112530069294249e-06	9.921120818829192e-15	1.634006969659501e-10
207.0.	9.897914743530924e-156	7.1126934699817235e-06	2.887306520070825e-06	3.519066147614504e-12	1.1423201998213801e-156	6.000159881630833e-06	-6.648131176069164e-34	2.112530069284739e-06	9.947478142586374e-15	1.634006969659501e-10
210.0.	5.708555105634845e-159	7.112693469972592e-06	2.887306520054651e-06	2.862071464656613e-12	6.588254170629373e-160	6.000160538625515e-06	-6.641883701568658e-34	2.112530069275608e-06	9.972783291975227e-15	1.634006969659501e-10
