time	ADP	ATP	BPG	P3G	gap	glc	nadp	nadph	pep	pyr
92.0.39999999999999.0	0.00020310726744300002	9.999796892732562	0.0030750121710870003	0.45472886243716404	0.42088588255312404	7.458068557057396	0.000264682449356	0.19973531755064303	2.160932371258971	3.239067628741006
93.0.6.0	0.000201245465073	9.999798754534932	0.003005174584117	0.43135976448282604	0.41624638913357703	7.434624940079879	0.00026000101314700003	0.19973999898685202	2.134874720941637	3.2651252790583403
94.0.8.0	0.000199130535635	9.999800869464368	0.002933115118385	0.408493945608049	0.411423188515794	7.411682137125907	0.000255076399684	0.199744923600315	2.109382791518279	3.290617208481698
96.0.	0.000196749909614	9.99980325009039	0.0028588081625160002	0.386149092334426	0.406411115906453	7.389257802950356	0.00024990245362300004	0.19975009754637602	2.08447623240478	3.315523767595197
97.0.2.0	0.000194091493934	9.999805908506069	0.002782238234291	0.364343231505662	0.40120500298036305	7.367369943522369	0.00024447378262400005	0.19975552621737502	2.060175052117052	3.339824947882924
98.0.39999999999999.0	0.000191143918409	9.999808856081593	0.0027034020598900002	0.34309465872715605	0.395799745396745	7.346036846747666	0.00023878596082800002	0.19976121403917102	2.036499537104961	3.363500462895016
99.0.6.0	0.00018789682132600003	9.999812103178677	0.0026223108962910003	0.32242184971117804	0.39019038224565505	7.325276996368216	0.00023283576095500002	0.199767164239044	2.013470151586382	3.386529848413595
100.0.8.0	0.000184341175838	9.999815658824165	0.0025389930958270002	0.30234335224512604	0.38437218885962104	7.305108966756913	0.00022662141616800003	0.199773378583831	1.9911074158854052	3.408892584114572
102.0.	0.00018046965757600002	9.999819530342428	0.002453496900478	0.282877656452996	0.37834078438893903	7.285551296265146	0.00022014291188000002	0.19977985708811902	1.969431760735731	3.430568239264246
103.0.2.0	0.00017627705205600002	9.999823722947948	0.0023658934378270003	0.264043041068524	0.372092255416111	7.266622336812446	0.00021340230630400003	0.19978659769369503	1.9484633550743782	3.451536644925599
104.0.39999999999999.0	0.000171760698032	9.99982823930197	0.002276279870256	0.24585739362093903	0.36562329664458404	7.248340077567611	0.00020640407662400002	0.199793595923375	1.928221905064258	3.471778094935719
105.0.6.0	0.00016692095975200002	9.999833079040249	0.002184782623112	0.228338002796855	0.358931369302947	7.230721940904925	0.000199155485165	0.19980084451483401	1.9087264224974172	3.49127357750256
106.0.8.0	0.00016176171715000001	9.99983823828285	0.0020915605860940003	0.21150132183686302	0.35201487731776304	7.213784549379487	0.00019166695673600003	0.199808333043263	1.889994961400936	3.510005038599041
108.0.	0.00015629085825000002	9.999843709141745	0.001996808145129	0.19536270270890302	0.34487336048427003	7.19754346330825	0.000183952454424	0.19981604754557503	1.8720443226556722	3.527955677344305
109.0.2.0	0.000150520752712	9.999849479247285	0.0019007578607070001	0.17993610202704902	0.33750770276584	7.182012889724141	0.00017602983659100003	0.19982397016340803	1.854889727803358	3.545110272196621
110.0.39999999999999.0	0.00014446867959200002	9.999855531320403	0.0018036825652230002	0.16523376129903802	0.329920352452489	7.167205365036846	0.00016792117279200002	0.19983207882720802	1.8385444650081801	3.561455534991798
111.0.6.0	0.000138157176632	9.999861842823359	0.001705896610277	0.15126586611200502	0.32211554919908303	7.153131415713272	0.000159652991195	0.19984034700880401	1.823019512379072	3.576980487620906
112.0.8.0	0.00013161427327900002	9.999868385726709	0.001607755960965	0.138040191289545	0.31409955097359504	7.139799203675651	0.00015125642534800002	0.19984874357465202	1.808323146530997	3.591676853468981
114.0.	0.00012487356616600002	9.999875126433821	0.0015096568157690002	0.12556174180387	0.305880851753737	7.1272141658440304	0.000142767224597	0.19985723277540202	1.794460547288117	3.605539452711861
115.0.19999999999999.0	0.00011797409506900001	9.999882025904915	0.00141203243748	0.11383240215762701	0.297470378562868	7.115378660186144	0.000134225591243	0.19986577440875603	1.781433412644994	3.618566587354984
116.0.39999999999999.0	0.00011095998073200001	9.999889040019248	0.0013153479231980002	0.10285060982100501	0.28888165435913404	7.104291633553653	0.00012567580965800002	0.199874324190342	1.769239601238628	3.63076039876135
117.0.6.0	0.000103879794601	9.999896120205374	0.001220092729612	0.09261107078161601	0.280130911693657	7.093948329150511	0.00011716563949200001	0.19988283436050702	1.757872822269654	3.6421271777303232
118.0.8.0	9.678564528914651e-05	9.999903214354683	0.001126770909675	0.08310453690977901	0.271237141311275	7.084340053276831	0.000108745457584	0.19989125454241602	1.7473223945754461	3.652677605424533
120.0.	8.973198771791401e-05	9.999910268012252	0.001035889207938	0.074317665182864	0.262222060387368	7.075454021542241	0.00010046715164600001	0.19989953284835302	1.7375730968778882	3.662426903122092
