time	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
295.0.	0.22423515582470602	0.006312638028131001	0.019050658928951	0.031928074449189	0.024349609395454	0.0047242426604530005	0.0010539325971100002	0.001001453248474
300.0.	0.201228926850748	0.0056529866002010005	0.017052275381739	0.028568323976347003	0.021837180731703	0.004206809266262	0.0008425471379500001	0.000800753620988
305.0.	0.180436922874865	0.005059229097022	0.0152550120142	0.025548763051877	0.019569433753560003	0.003745577719205	0.000672892615665	0.000639625126594
310.0.	0.161675445022529	0.004525403890081	0.013640378906348002	0.022837714705623003	0.017525457282295	0.0033346375216020004	0.0005369388889460001	0.000510469322627
315.0.	0.144769978690398	0.004045959595351	0.012191218863675002	0.020405866492929	0.015685534996735	0.0029686290643150003	0.00042813453596400006	0.00040708169390300006
320.0.	0.12955610478204402	0.003615755387942	0.010891692829350002	0.018226224519260002	0.014031205426742	0.002642717198718	0.00034115642132300005	0.00032441739045300003
325.0.	0.11588001098285401	0.003230053387971	0.009727243350990001	0.01627403343633	0.012545286245369	0.002352556601616	0.00027169416898800003	0.00025838895571800004
330.0.	0.103598682045815	0.0028845051792200003	0.008684542235239	0.014526672567625002	0.011211869853743001	0.0020942532131390003	0.000216267450742	0.00020569441528500002
335.0.	0.09257983965780801	0.0025751341841530003	0.0077514274469000005	0.012963536437024002	0.010016296653987001	0.001864324642384	0.00017207290301700002	0.00016367295545500002
340.0.	0.082701692830054	0.0022983152991240003	0.0069168333143080005	0.011565906263867	0.008945111633789	0.001659661389706	0.00013685704798400001	0.00013018492907100002
345.0.	0.073852550049939	0.002050752907197	0.006170717226942001	0.010316817504621	0.007986009052873	0.00147748998874	0.00010881157417600001	0.000103512850098
350.0.	0.065930335317519	0.001829458138663	0.005503985266921	0.009200927276558002	0.007127769202374	0.0013153386628520002	8.648755078924863e-05	8.228020663830821e-05
355.0.	0.05884204201404201	0.0016317260416060001	0.004908418599168	0.008204384479597001	0.006360190448809	0.0011710057574390001	6.872548903514212e-05	6.538521683809152e-05
360.0.	0.052503151444649	0.0014551131538900002	0.004376601944209	0.007314704614212001	0.0056740190995970005	0.001042530998941	5.459854772737456e-05	5.1946998071852935e-05
365.0.	0.046837036867575	0.001297415829682	0.003901855057629	0.0065206506474440006	0.005060879045589	0.000928169504058	4.336656362313402e-05	4.1261971374968895e-05
370.0.	0.041774368800842	0.0011566495635990002	0.0034781678259360005	0.005812120777132001	0.004513202647563001	0.00082636838996	3.443894539541663e-05	3.2768655019202434e-05
375.0.	0.037252533282421	0.001031029469134	0.0031001393451190002	0.005180043560687001	0.0040241639314270005	0.000735745799084	2.7344791582149795e-05	2.601930084012068e-05
380.0.	0.033215071436155	0.0009189520012980001	0.0027629211627630003	0.004616280586147	0.003587614831933	0.0006550721371110001	2.17088735529854e-05	2.065708975721501e-05
385.0.	0.029611146048071003	0.000818977962652	0.0024621647258160004	0.00411353665079	0.003198024966539	0.000583253321565	1.72323649276584e-05	1.6397828740187013e-05
390.0.	0.026395038778048004	0.00072981679405	0.0021939729746070003	0.0036652772600110003	0.002850425219502	0.000519315845451	1.3677401861372581e-05	1.3015282594176641e-05
395.0.	0.023525680022573003	0.000650312123875	0.001954855951509	0.00326565315349	0.0025403552616850003	0.000462393471937	1.0854728167617022e-05	1.0329433873037411e-05
400.0.	0.020966212219959	0.0005794285301230001	0.001741690243433	0.0029094314960720004	0.002263815015407	0.00041171538984900003	8.613819691717909e-06	8.197096894028325e-06
405.0.	0.018683586476346003	0.00051623945659	0.0015516820457100002	0.002591933328782	0.0020172199884850002	0.00036659567443600004	6.834997901601472e-06	6.504421105585428e-06
410.0.	0.016648191726768	0.00045991621624200005	0.001382333616806	0.002308976854166	0.0017973603411760002	0.000326423912368	5.423137219518911e-06	5.160908565246071e-06
415.0.	0.014833515178704001	0.00040971801034700005	0.001231412885283	0.002056826124238	0.0016013635086000002	0.000290656863915	4.302647651246086e-06	4.094643258194327e-06
420.0.	0.013215832472854001	0.00036498289028	0.0010969259698380002	0.0018321447045920002	0.0014266601752520001	0.00025881104830400003	3.413476791754117e-06	3.24848925228815e-06
425.0.	0.011773925802429001	0.000325119589267	0.0009770923780320002	0.0016319539013610002	0.0012709533837260002	0.00023045615029500003	2.707925874935348e-06	2.577062664579376e-06
430.0.	0.010488828129727	0.000289600153162	0.0008703226578780001	0.001453595156127	0.00113219055397	0.000205209157002	2.1481153591623992e-06	2.0443211502295806e-06
435.0.	0.009343591604334001	0.000257953302212	0.000775198287451	0.0012946962357920002	0.001008538190005	0.000182729143884	1.703968411798568e-06	1.621645826809245e-06
440.0.	0.008323078303077	0.00022975845925500001	0.000690453600309	0.001153140868161	0.0008983590563050001	0.000162712637778	1.351607072311872e-06	1.286315630272007e-06
445.0.	0.007413771463396001	0.00020464038375900002	0.0006149595578890001	0.001027041498695	0.000800191614439	0.00014488949281800002	1.072077068258809e-06	1.020294229674396e-06
450.0.	0.006603605458233	0.000182264355186	0.0005477091937840001	0.0009147148685780001	0.000712731521235	0.000129019222237	8.503342387866645e-07	8.092657597176309e-07
455.0.	0.0058818128530880006	0.000162331853386	0.00048780456839900006	0.000814660138503	0.0006348150015560001	0.00011488773537400002	6.744391078341131e-07	6.4186854168415e-07
460.0.	0.005238786988131	0.00014457668782500002	0.00043444508577800004	0.000725539305888	0.00056540392139	0.00010230443491500001	5.349170099122036e-07	5.090862855695723e-07
465.0.	0.004665958635193	0.000128761531462	0.000386917037084	0.000646159685423	0.000503572399737	9.109963435725416e-05	4.242498444797122e-07	4.0376451070824677e-07
470.0.	0.004155685387487	0.000114674818926	0.00034458424725800004	0.000575458243724	0.00044849481040700004	8.112226022141432e-05	3.364724552919489e-07	3.2022650145799375e-07
475.0.	0.0037011525463090003	0.00010212797222	0.00030687971267	0.0005124875983220001	0.00039943503717600003	7.22378074449464e-05	2.6685214905587574e-07	2.539683611677502e-07
480.0.	0.003296284371959	9.095292060315367e-05	0.000273298128101	0.00045640350929	0.00035573685746400003	6.432651993976254e-05	2.11634264600866e-07	2.0141690879449959e-07
485.0.	0.002935664664376	8.099988439822156e-05	0.00024338921110200003	0.000406453708402	0.00031681534085000005	5.7281771411683835e-05	1.67840205464683e-07	1.597374927507047e-07
490.0.	0.002614465731683	7.213539542056192e-05	0.00021675174073600002	0.000361967926019	0.000282149159153	5.100862431144489e-05	1.331071361356231e-07	1.2668144762579281e-07
495.0.	0.002328384891667	6.42405293511204e-05	0.000193028235908	0.000322348989807	0.000251273714501	4.542254724901119e-05	1.055607599989884e-07	1.0046502896638779e-07
500.0.	0.0020735877317600003	5.720932784870877e-05	0.000171900205958	0.000287064882102	0.000223775000772	4.0448273387842986e-05	8.371436098345022e-08	7.967333924145912e-08
