time	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
30.0.	0.41750189940603805	0.17173773826927002	0.74879748573143	1.579151472862742	0.776157820880754	4.374481338956526	0.44897188547781103	1.66505422476348	1.678890736414231	1.108153690846028	0.258524905894014	1.411550144791269	0.002780993790496	4.253688304772489	0.556130684050615	0.14925182330213502	0.282101494861824	0.19709559873278001
30.0.400000000000002.0	0.421661120268483	0.17209322456025603	0.7432536989236641	1.6086586281877682	0.773110015841134	4.342438988476826	0.45156613093644704	1.660619254461885	1.6302093822386512	1.105580543845028	0.251258355854219	1.372852909506305	0.0027389527374890002	4.248610428383517	0.555853334610758	0.149020197543824	0.279228888668254	0.196458532983104
30.0.8.0	0.42533477431627403	0.17222231972773502	0.73721435531723	1.634463487130716	0.769881790978116	4.307442553906929	0.453461174223714	1.656204521325052	1.5799070359302112	1.102829044963784	0.24371325878849803	1.332539605500613	0.002692119191189	4.2434970750539724	0.5550206178210301	0.14864986604997502	0.276240484430589	0.195628572281335
31.0.200000000000003.0	0.42836787520789404	0.17212403283921401	0.7308885676982031	1.655390290902362	0.7664823701308621	4.270694081336732	0.454617044090356	1.651804621624669	1.530356190593016	1.099885385884524	0.23624412812292	1.29249697561976	0.002643833818865	4.23866140858394	0.553643275073169	0.148154705791951	0.27321960538621304	0.19464192172918202
31.0.6.0	0.43063351062362	0.171813558788241	0.7245184363395121	1.67051016624118	0.7629313066830771	4.233596384766339	0.45504734704293404	1.647412252581749	1.48390656852443	1.096745025606619	0.229206074560646	1.254629240236846	0.0025976281117600004	4.23445433245715	0.5517672586018311	0.147558436436961	0.270255397028669	0.193549135255138
32.0.	0.43205254594631304	0.17132173701055	0.7183545898086671	1.679300127596346	0.7592576959016201	4.197613358830104	0.454820256056554	1.643018651991887	1.4425840237058352	1.093413678784791	0.22290918092348602	1.220613304528813	0.0025567686641390004	4.231230897094773	0.549473965133496	0.14689298259472602	0.26743545831173904	0.19241012463446802
32.0.4.0	0.43261003263226905	0.170691690478481	0.712625711659646	1.68176024434043	0.755498053644286	4.164092271993174	0.45404970454270405	1.638614464800603	1.407824802546703	1.089907171912853	0.21757734283474503	1.191674737917985	0.0025238119345650004	4.229299628712511	0.546874849994718	0.146195067726569	0.26483715514586903	0.19128650293856903
32.0.800000000000004.0	0.432362029381794	0.16997326630880003	0.707509800705269	1.6784411790339862	0.7516930602712041	4.134092917397651	0.45287864897754204	1.634190889525875	1.380323823580785	1.086250003126534	0.213323844015284	1.168451535291523	0.0025002997466210004	4.228867159704879	0.544100467417555	0.145501693539989	0.262519507305706	0.19023318123874303
33.0.2.0	0.43142926635432505	0.169216791175774	0.703115041246243	1.670363706181532	0.7478837391321921	4.108270852157721	0.45145952048637705	1.629740814031761	1.360034867061158	1.082472791703745	0.21014993651110903	1.150981194582129	0.002486675489713	4.229996044097385	0.5412859697012581	0.14484566893866402	0.260517502008011	0.189291648606722
33.0.6.0	0.429978927178695	0.16846775361808	0.6994746837983361	1.658853052117562	0.744107814551338	4.086842504884403	0.44993727474316203	1.6252596266931452	1.346303220683197	1.078609110369065	0.20796388158492402	1.138798965026064	0.0024824139758500004	4.232590942556796	0.538556380097973	0.144252326417419	0.258840028200763	0.188486662260091
