time	Ln_	NRLc	NRLm	NRLn	NRc	NRm	NRn	RE	REL
24.0.599999999999998.0	0.004999999999999	0.208955223880596	0.208955223880595	0.40883721043772003	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982495	1.073720702017497
24.0.9.0	0.004999999999999	0.208955223880596	0.208955223880595	0.40883721043772103	41.79104477611932	41.79104477611936	81.76744208754486	2.6262792979824923	1.073720702017499
25.0.2.0	0.004999999999999	0.208955223880596	0.208955223880595	0.40883721043772203	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017501
25.0.5.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772203	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017503
25.0.8.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017503
26.0.099999999999998.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
26.0.4.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
26.0.7.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
27.0.	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
27.0.3.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
27.0.599999999999998.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
27.0.9.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
28.0.2.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
28.0.5.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
28.0.799999999999997.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
29.0.099999999999998.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
29.0.4.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
29.0.7.0	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
30.0.	0.004999999999999	0.208955223880596	0.208955223880596	0.40883721043772303	41.79104477611932	41.79104477611936	81.76744208754486	2.626279297982491	1.073720702017504
