time	C3	C3_star	C8	C8_star	FL	FS	IKK	L	L_RF	L_RF_C8	L_RF_C8_FS	L_RF_FL	L_RF_FL_FL	L_RF_FL_FS	L_RF_FS	L_RF_FS_FS	NF_kB_IkB	NF_kB_IkB_P	NF_kB_star	RF	p43_FLIP	p43_FLIP_IKK_star	p43_p41
122.0.4.0	0.8712396800002211	0.06229598040879301	7.35147303380749	4.654686986566782	-3.1638223782299973e-84	1.386664993853642e-48	5.299402300691427	21.954080000000115	53.569098788302774	11.82748907378604	0.293750156588494	0.196781699654926	0.46548358372427706	4.788854525412442	8.819885113011113e-05	0.000615059573965	0.037036782959104	0.0006306465297870001	2.940709792193106	-2.689629476839267e-80	1.00853590817549	0.171907137229937	13.736991348320137
126.0.	0.838817446135788	0.061275066721001005	6.80567875701907	4.707108249887926	-1.9484140030743563e-86	7.143210846154604e-50	5.285632917296128	21.954080000000115	53.39511975593189	11.822374477008996	0.293751482328314	0.19382382286004401	0.46548358372427706	4.788854525412442	8.687311131004441e-05	0.000615059573965	0.029661472497092	0.00050501288686	2.8809539055768143	-1.10375053111964e-81	0.997724401575072	0.171876379020259	13.566016394088747
129.0.6.0	0.807320162046243	0.059962477298273004	6.30419853664463	4.7409457363459815	6.749531185874059e-89	-1.040339342515548e-50	5.272047677344513	21.954080000000115	53.23451510949117	11.81720651274553	0.293752692216378	0.191124424552678	0.46548358372427706	4.788854525412442	8.566322324692793e-05	0.000615059573965	0.02375850158154	0.00040404907094100006	2.821083656251214	-2.349636735102243e-83	0.986838559930823	0.17167104884994802	13.378461811709714
133.0.20000000000002.0	0.776848785098731	0.05840297467359801	5.8438312185034835	4.7571148144420565	1.669560659284651e-90	5.088587649552853e-52	5.258646173234348	21.954080000000115	53.08612488143241	11.812053599990923	0.293753798291576	0.188656644590067	0.46548358372427706	4.788854525412442	8.455714804823873e-05	0.000615059573965	0.019037340942584	0.00032307947054	2.76139335893089	-2.454961429832514e-85	0.975904835783269	0.171305006986696	13.177314952259369
136.0.8.0	0.7474804200253481	0.056640981521782006	5.421438599856422	4.756695139425704	1.5781182087321e-92	-1.110972340455739e-54	5.245427671138854	21.954080000000115	52.948886934492116	11.80696720430001	0.293754811228415	0.18639666693605603	0.46548358372427706	4.788854525412442	8.354421121004182e-05	0.000615059573965	0.015263034270639	0.00025825345443000004	2.702114875439634	3.171407486966551e-87	0.9649463113417861	0.17079135767837703	12.965332583953856
140.0.4.0	0.7192701817335041	0.054719269680802006	5.033988508084216	4.74088713022667	-2.681598343627878e-95	-1.659413477086007e-54	5.232391158314415	21.954080000000115	52.82183156993948	11.801985317187773	0.29375574049163905	0.18432337466151602	0.46548358372427706	4.788854525412442	8.261494798591066e-05	0.000615059573965	0.012246222001875001	0.00020642040301900003	2.643429023398067	2.222738963113623e-88	0.953983090791887	0.170142462052846	12.745020784934713
144.0.	0.6922533879346581	0.052677948017719	4.6785873611641104	4.710971550003679	-1.6412739125552148e-96	1.304061974436436e-55	5.219535384580369	21.954080000000115	52.704075693382784	11.79713529146815	0.293756594474544	0.182418041367387	0.46548358372427706	4.788854525412442	8.176096508070753e-05	0.000615059573965	0.009834733834096	0.00016501670387900001	2.585475162059492	5.808111826595699e-90	0.94303265035197	0.16936995561831902	12.518626224655966
147.0.6.0	0.666447927029237	0.050553742787315004	4.352503002265145	4.668273236877725	-6.517314225252549e-99	-3.890747727569627e-57	5.206858898630741	21.954080000000115	52.59481673406882	11.792436137415118	0.293757380622557	0.180664055458804	0.46548358372427706	4.788854525412442	8.097481706843445e-05	0.000615059573965	0.007906578274239	0.000131966180317	2.528359165244186	8.492868294415176e-92	0.932110150310923	0.168484769375836	12.288136805750147
151.0.20000000000002.0	0.6418566729175851	0.048379546417022	4.053178978790935	4.614129591190721	4.0218332333463037e-101	-1.69670127858954e-58	5.19436007976936	21.954080000000115	52.49332648970823	11.78790037115525	0.29375810554347503	0.17904667418182602	0.46548358372427706	4.788854525412442	8.02498961498786e-05	0.000615059573965	0.006364148833951	0.00010559409260100001	2.472159996392699	1.541557756829972e-95	0.9212287127265241	0.16749715369725202	12.055289591541547
154.0.8.0	0.618469846221942	0.04618419922321	3.778241618124013	4.549864054504742	4.867767851051092e-103	2.584207015164937e-59	5.18203716559944	21.954080000000115	52.39894503999989	11.783535494055574	0.29375877510561105	0.17755280466512502	0.46548358372427706	4.788854525412442	7.958033401405848e-05	0.000615059573965	0.005129471381835	8.455402996405992e-05	2.416935091802838	-4.0212410397709354e-95	0.9103996680733041	0.16641670424551902	11.821584061910684
158.0.4.0	0.5962672481866691	0.043992462782979004	3.525501284944045	4.476764523845271	3.234822438565633e-105	-1.375875444478504e-60	5.16988827614418	21.954080000000115	52.31107484187458	11.779345170218404	0.29375939452495203	0.176170809446062	0.46548358372427706	4.788854525412442	7.896091467373153e-05	0.000615059573965	0.004140330035877	6.776655300229852e-05	2.362724741122781	-1.3332548143754138e-96	0.899632773837105	0.165252389322034	11.588298960791315
162.0.	0.5752203175566161	0.04182514248855	3.292949134110791	4.396066431953176	-1.9010369087932052e-108	1.3792990569188381e-62	5.15791143482562	21.954080000000115	52.229175090614916	11.77533015865886	0.29375996844239805	0.17489033414444302	0.46548358372427706	4.788854525412442	7.838699722764114e-05	0.000615059573965	0.0033471259256	5.436823665202265e-05	2.309555633304325	-2.4678801092784137e-98	0.888936407820167	0.164012578120819	11.356511271136378
